gene_name,in_ncg,in_civic,external_source_count,external_sources,max_external_evidence_score,consensus_label,consensus_confidence,high_confidence_label
TP53,True,True,2,NCG;CIViC,1.0,1,high_confidence_positive,1.0
KRAS,True,True,2,NCG;CIViC,1.0,1,high_confidence_positive,1.0
EGFR,True,True,2,NCG;CIViC,1.0,1,high_confidence_positive,1.0
RET,True,True,2,NCG;CIViC,1.0,1,high_confidence_positive,1.0
KEAP1,True,True,2,NCG;CIViC,1.0,1,high_confidence_positive,1.0
ALK,True,True,2,NCG;CIViC,1.0,1,high_confidence_positive,1.0
BRAF,True,True,2,NCG;CIViC,1.0,1,high_confidence_positive,1.0
ROS1,True,True,2,NCG;CIViC,1.0,1,high_confidence_positive,1.0
MET,True,True,2,NCG;CIViC,1.0,1,high_confidence_positive,1.0
ATM,True,True,2,NCG;CIViC,1.0,1,high_confidence_positive,1.0
CDKN2A,True,True,2,NCG;CIViC,1.0,1,high_confidence_positive,1.0
ERBB2,True,True,2,NCG;CIViC,1.0,1,high_confidence_positive,1.0
STK11,True,True,2,NCG;CIViC,1.0,1,high_confidence_positive,1.0
COL11A1,True,False,1,NCG,1.0,1,single_source_positive,
SMARCA4,True,True,2,NCG;CIViC,1.0,1,high_confidence_positive,1.0
SETD2,True,True,2,NCG;CIViC,1.0,1,high_confidence_positive,1.0
MAP2K1,True,True,2,NCG;CIViC,1.0,1,high_confidence_positive,1.0
ARID1A,True,True,2,NCG;CIViC,1.0,1,high_confidence_positive,1.0
SOX2,True,False,1,NCG,1.0,1,single_source_positive,
PIK3CA,True,True,2,NCG;CIViC,1.0,1,high_confidence_positive,1.0
RBM10,True,False,1,NCG,1.0,1,single_source_positive,
CTNNB1,True,True,2,NCG;CIViC,1.0,1,high_confidence_positive,1.0
NFE2L2,True,True,2,NCG;CIViC,1.0,1,high_confidence_positive,1.0
NRAS,True,True,2,NCG;CIViC,1.0,1,high_confidence_positive,1.0
PCLO,False,False,0,,0.0,0,negative_candidate,0.0
RYR1,True,False,1,NCG,1.0,1,single_source_positive,
ASPM,True,False,1,NCG,1.0,1,single_source_positive,
